,,,[]
1,3,,秋山烟草动帆长，拭泪生秋春水闲。自此独惊荷鬓百，下墙轻处已东城。（对不起，现在只能想到2句诗）
1,3,,家住人初武，桥南太有奢。传心千里命，数为复相伤。陇上西关海，山云绕锦城。自怜龙象开，烽顶一丸时。金诚不平道，长怜空客门（对不起，现在只能想到4句诗）
1,3,,千里酒明发，风荷尽即逢。海村销雁长，月照伴儿家。箭出青铜望，卷天流水楼。
2,,八戒我爱你,八城上女石倾<unknown>处，戒我爱你
2,,八戒我爱你,八月出，戒年波世存，我时恨久昏。爱身西南云深，你人道可道，
1,4,,江南江色净，边草如莲屋。城西秋意深，寒毂从城邑。何朝未习饥，永始畏残岁。误人归在楚，守罢归云向。庭摧凋白薤，月照村巫乳（对不起，现在只能想到4句诗）
1,3,,空家寒韭草，恃适风尘生。今日熙清净，音残发不疑。复时清兴合，残酒对沙罗。松土静寻笔，岩峰道可怜。堂前夭杀蜜，罗薄艳阳楣（对不起，现在只能想到4句诗）
1,3,,夜来社酒不消忧，此别徒来又下闻。四个无尘犹有世，徒应因作向无来。（对不起，现在只能想到2句诗）
1,1,,夜叠烟霞一夜催，百衣扶短剪龙屏。
1,2,,含桃烟薄著帘巾，迎上从红地上拈。醉对一声谁是主，珠帘柳絮暗来眠。
1,3,,何事无祥，仰今以烟如合。行如赤丝光，应，腾黄雾。妾对皇明，衔明铁龄，未见人。
1,4,,山浦即为叔，谁知白日生。欲知儿父友，总是求庸传。茶径齐天上，苇田山下闻。还因孟晨试，独领小山沈。
2,,八戒我爱你,八七万事月，戒海波，我时节，爱春上前，你去，
,,八戒,[]
2,,八戒,八戒岁累，
2,,八戒生日快乐,八丈恨入衰，戒闲客，生养以国神灵，日快蚃[<pad>[魂。乐有清溪怨远尘。
2,,八戒生日快乐,八十旬，戒独生旨政，生险不垂，日快騧騧饷潘池磴褭，乐笼前景明月之，
2,,陈玲生日快乐,陈灵神，玲折山归处朝酒息时仪，生常倦逢数人，日快衒[袍绕野花销云洞，乐行人。
2,,生日快乐,生上愿有？圣帝美斯雕，日快哗朮逻<pad><pad>[<pad>[<pad>乾束盖，乐
2,,陈玲傻逼,陈舟，玲][<pad><pad>久怀处夕，傻逼
2,,八戒我爱你,八日内，戒生谋祀日，我时来方顾休，爱风复阳，你途何无事，
2,,夏鹏飞你好,夏朝说宫，鹏宫，飞时，你大终斋意，好来日多时作，
2,,夏鹏飞你好,夏将举兹人，鹏绿江花已暮，飞时期眺绵，你苍山要此时，好客，
1,3,,将由今日醉中闲，独鹤清云自覆春。柳叶朝含罗绮壁，坐来空宿上霓香。飞声万里何如笔，天姥年随小种带。
1,4,,昨夜孤尘好物然，残春开耳细向云。摇毫但逐清宵语，惆怅君身舞蝶遥。（对不起，现在只能想到2句诗）
2,,八戒我爱你,八岁，戒身震，我时延千万载，爱月争和绿鸦，你柔，
,,八戒生日快乐,[]
2,,八戒生日快乐,八月，戒真，生处蹉跎，日极<pad><pad><pad>[<pad><pad>[[<pad>[[[<pad>[江[。快乐
2,,八戒生日快乐,八六日日两心，戒凉恩酒，生上幸所起歌能感归春折年是时，日火，快衒[项邺复梁古飨，乐仙馆，
2,,八戒生日快乐,八咏，戒时亲伏夫，生遗之摄神图。日深山边客愁。快哗鷇貙滹羁地，乐清恩，
2,,八戒生日快乐,八月，戒时言近见忙，生穷妾几时日，日绝胜风天边别。快侮騧[鬼川险崒鼓光烧，乐宫，
1,3,,太一征存晚，年年使国成。南亲迎白发，登陇表虚容。今朝初焕理，独乏舞乌啼。
1,4,,寝阁鸳鸯必惜毫，便轻花下落阳城。龙词愁舞须同赠，羞出玄尊谩自柔。寒色已宜春谢佛，里方时节动经时。（对不起，现在只能想到3句诗）
1,1,,一刻何勤用买轻，天涯未上病前荣。
1,2,,山底后征鸿阵身，水淹澄每下山前。鸷花阴闪垂<unknown>去，新物无端韵永看。
1,2,,将竞野花间，悄然霜瘦幽。江陲送满谷，汉陇正衰吹。
2,,八戒,八二八岁时，戒远闻君主战，
2,,夏鹏飞我爱你,夏月，鹏帝戚明章族少千顷，飞鸣风，我风期凤绣绣，爱乡朝相条红。你家是秋雁来处。
2,,猴子我爱你,猴羞天上客，子不见兹麓西突，我爱花人来，你老者天草来，
2,,猴子生日快乐,猴心浩相用，子采掇，生死欲墨，日快騧馋[江上帝家迁勒玉，乐归孤，
2,,你好,你君，好海山愁寒，
2,,日头,日<unknown><pad><pad>[<pad>[<pad>[<pad>[[<pad>[[[乐[渊云。头
2,,生日快乐,生不醉，日来<pad>[。快复陈，乐
2,,八戒,八月好，戒朝犹举不顾流，
2,,八戒生日快乐,八年，戒时程面事，生听逢翻系怀，日江南南浦来因风。快侮騧[火阴合贺牡天烟菊花，乐仪主，
2,,你是傻逼,你何乡戒朱转，是傻逼发入碎镜。
2,,傻逼是你,傻家山作武陵春，逼死尘组言诗屠，是若<pad>愁中水，你若今年。
2,,什么东西,什剜龁娈摭鞠摭摭鞠摭阪鞠鲠饼枻水生华。么东山使绝逃格，西风兴静秃堂。
2,,八戒我爱你,八重。戒杯开尊酒<unknown>，我爱枉惜相云回中石，你
2,,八戒生日快乐,八月，戒相学，生古念迟日良，日<unknown><pad><pad>[<pad>[<pad>[<pad>[[<pad>[[[客羽。快乐
2,,八戒生日快乐,八五人下璧，戒日，生非陪道锁，日快诟帕蜚尚股汹使一，乐从宠，
